"Date","oil price","RUB CBRF Curncy","PPIAC ","CPIAC(USA)","CPIAC(RF)","oil_price_priv","curcy_priv","curcy_t-1","Δ(curcy_t-1)","oil_price_t-1","Δ(oil_price_t)"
"18.05.2010","72.84","30.6986","183.5","217.199","323.6","80.13273381295","40.418514457074","39.574426791238","0.17548955231255","81.529886091127","-1.3971522781775"
"19.05.2010","72.26","30.3946","183.5","217.199","323.6","79.494664268585","40.018260751857","40.418514457074","0.84408766583589","80.13273381295","-0.63806954436451"
"20.05.2010","69.83","30.6953","183.5","217.199","323.6","76.821372901679","40.414169597774","40.018260751857","-0.40025370521622","79.494664268585","-2.6732913669065"
"21.05.2010","71.18","30.7523","183.5","217.199","323.6","78.306534772182","40.489217167502","40.414169597774","0.39590884591617","76.821372901679","1.4851618705036"
"22.05.2010","71.18","31.0576","183.5","217.199","323.6","78.306534772182","40.891182483957","40.489217167502","0.075047569728035","78.306534772182","0"
"23.05.2010","71.18","31.0576","183.5","217.199","323.6","78.306534772182","40.891182483957","40.891182483957","0.40196531645563","78.306534772182","0"
"24.05.2010","70.13","31.0576","183.5","217.199","323.6","77.151408872902","40.891182483957","40.891182483957","0","78.306534772182","-1.1551258992806"
"25.05.2010","69.77","30.8754","183.5","217.199","323.6","76.755365707434","40.651293585634","40.891182483957","0","77.151408872902","-0.39604316546762"
"26.05.2010","70.33","31.4293","183.5","217.199","323.6","77.371432853717","41.380571636026","40.651293585634","-0.23988889832367","76.755365707434","0.61606714628297"
"27.05.2010","73.95","31.3538","183.5","217.199","323.6","81.353866906475","41.281166521737","41.380571636026","0.7292780503923","77.371432853717","3.9824340527578"
"28.05.2010","73.26","30.8786","183.5","217.199","323.6","80.594784172662","40.655506782531","41.281166521737","-0.099405114288892","81.353866906475","-0.75908273381295"
"29.05.2010","73.26","30.4956","183.5","217.199","323.6","80.594784172662","40.151239778919","40.655506782531","-0.6256597392064","80.594784172662","0"
"30.05.2010","73.26","30.4956","183.5","217.199","323.6","80.594784172662","40.151239778919","40.151239778919","-0.50426700361121","80.594784172662","0"
"31.05.2010","73.74","30.4956","183.5","217.199","323.6","81.122841726619","40.151239778919","40.151239778919","0","80.594784172662","0.52805755395681"
"01.06.2010","72.17","30.7400","183.5","217.199","323.6","79.395653477218","40.473022691929","40.151239778919","0","81.122841726619","-1.7271882494005"
"02.06.2010","74.31","31.0702","183.5","217.199","323.6","81.749910071942","40.907771946739","40.473022691929","0.32178291300934","79.395653477218","2.3542565947242"
"03.06.2010","74.83","31.1900","183.5","217.199","323.6","82.321972422062","41.065503505571","40.907771946739","0.43474925481051","81.749910071942","0.57206235011991"
"04.06.2010","71.23","30.8938","183.5","217.199","323.6","78.361540767386","40.675519467791","41.065503505571","0.15773155883192","82.321972422062","-3.9604316546763"
"05.06.2010","71.23","31.0685","183.5","217.199","323.6","78.361540767386","40.905533685888","40.675519467791","-0.38998403777974","78.361540767386","0"
"06.06.2010","71.23","31.0685","183.5","217.199","323.6","78.361540767386","40.905533685888","40.905533685888","0.23001421809629","78.361540767386","0"
"07.06.2010","71.34","31.0685","183.5","217.199","323.6","78.482553956835","40.905533685888","40.905533685888","0","78.361540767386","0.12101318944845"
"08.06.2010","72.09","31.7798","183.5","217.199","323.6","79.307643884892","41.842048358652","40.905533685888","0","78.482553956835","0.82508992805755"
"09.06.2010","73.42","31.6200","183.5","217.199","323.6","80.770803357314","41.631651838607","41.842048358652","0.9365146727641","79.307643884892","1.463159472422"
"10.06.2010","74.86","31.7302","183.5","217.199","323.6","82.354976019185","41.776743806748","41.631651838607","-0.21039652004455","80.770803357314","1.5841726618705"
"11.06.2010","74.4","31.5742","183.5","217.199","323.6","81.848920863309","41.571350458019","41.776743806748","0.14509196814085","82.354976019185","-0.50605515587529"
"12.06.2010","74.4","31.4471","183.5","217.199","323.6","81.848920863309","41.404007543765","41.571350458019","-0.20539334872936","81.848920863309","0"
"13.06.2010","74.4","31.4471","183.5","217.199","323.6","81.848920863309","41.404007543765","41.404007543765","-0.16734291425322","81.848920863309","0"
"14.06.2010","73.9","31.4471","183.5","217.199","323.6","81.298860911271","41.404007543765","41.404007543765","0","81.848920863309","-0.55005995203837"
"15.06.2010","76.47","31.4471","183.5","217.199","323.6","84.126169064748","41.404007543765","41.404007543765","0","81.298860911271","2.8273081534772"
"16.06.2010","77.02","31.4595","183.5","217.199","323.6","84.73123501199","41.420333681741","41.404007543765","0","84.126169064748","0.60506594724222"
"17.06.2010","77.36","31.1566","184.1","217.605","324.8","85.383549160671","41.096827260922","41.420333681741","0.016326137975923","84.73123501199","0.65231414868104"
"18.06.2010","77.23","31.1854","184.1","217.605","324.8","85.240065947242","41.134815636582","41.096827260922","-0.32350642081974","85.383549160671","-0.14348321342925"
"19.06.2010","77.23","30.8840","184.1","217.605","324.8","85.240065947242","40.737256732965","41.134815636582","0.037988375660831","85.240065947242","0"
"20.06.2010","77.23","30.8840","184.1","217.605","324.8","85.240065947242","40.737256732965","40.737256732965","-0.39755890361727","85.240065947242","0"
"21.06.2010","77.06","30.8840","184.1","217.605","324.8","85.052434052758","40.737256732965","40.737256732965","0","85.240065947242","-0.18763189448441"
"22.06.2010","76.6","30.7267","184.1","217.605","324.8","84.544724220623","40.529771611734","40.737256732965","0","85.052434052758","-0.50770983213431"
"23.06.2010","74.78","30.8960","184.1","217.605","324.8","82.535959232614","40.753085222824","40.529771611734","-0.20748512123091","84.544724220623","-2.0087649880096"
"24.06.2010","75.17","30.9694","184.1","217.605","324.8","82.966408872902","40.849902819126","40.753085222824","0.22331361108959","82.535959232614","0.43044964028778"
"25.06.2010","77.22","31.0149","184.1","217.605","324.8","85.229028776978","40.909919176507","40.849902819126","0.09681759630228","82.966408872902","2.2626199040767"
"26.06.2010","77.22","31.0761","184.1","217.605","324.8","85.229028776978","40.990644474786","40.909919176507","0.060016357380846","85.229028776978","0"
"27.06.2010","77.22","31.0761","184.1","217.605","324.8","85.229028776978","40.990644474786","40.990644474786","0.080725298279283","85.229028776978","0"
"28.06.2010","76.89","31.0761","184.1","217.605","324.8","84.864802158273","40.990644474786","40.990644474786","0","85.229028776978","-0.36422661870503"
"29.06.2010","74.22","30.9833","184.1","217.605","324.8","81.917877697842","40.868237486546","40.990644474786","0","84.864802158273","-2.9469244604317"
"30.06.2010","73.87","31.1954","184.1","217.605","324.8","81.531576738609","41.148006044798","40.868237486546","-0.12240698824048","81.917877697842","-0.38630095923261"
"01.07.2010","71.48","31.2554","184.1","217.605","324.8","78.893693045564","41.227148494091","41.148006044798","0.27976855825221","81.531576738609","-2.6378836930456"
"02.07.2010","71.21","31.3703","184.1","217.605","324.8","78.595689448441","41.378706284488","41.227148494091","0.079142449293435","78.893693045564","-0.29800359712232"
"03.07.2010","71.21","31.3703","184.1","217.605","324.8","78.595689448441","41.378706284488","41.378706284488","0.15155779039689","78.595689448441","0"
"04.07.2010","71.21","31.3703","184.1","217.605","324.8","78.595689448441","41.378706284488","41.378706284488","0","78.595689448441","0"
"05.07.2010","71.24","31.3703","184.1","217.605","324.8","78.628800959233","41.378706284488","41.378706284488","0","78.595689448441","0.033111510791358"
"06.07.2010","70.89","31.1124","184.1","217.605","324.8","78.2425","41.038525656609","41.378706284488","0","78.628800959233","-0.3863009592326"
"07.07.2010","73.59","31.1124","184.1","217.605","324.8","81.222535971223","41.038525656609","41.038525656609","-0.34018062787954","78.2425","2.980035971223"
"08.07.2010","74.72","31.0922","184.1","217.605","324.8","82.469736211031","41.011881032013","41.038525656609","0","81.222535971223","1.2472002398082"
